s_no,source,direction,Parameter1,Parameter2
1,S1,Sector1,0.19,0.422784
2,S1,Sector2,0.102,0.004688
3,S1,Sector3,0.038,0
4,S1,Sector4,0.072,6.7E-05
5,S1,Sector5,0.158,0.142519
6,S1,Sector6,0.205,0.613553
7,S1,Sector7,0.322,3.573364
8,S1,Sector8,0.21,0.664532
9,S1,Sector9,0.038,0
10,S1,Sector10,0.028,0
11,S1,Sector11,0.132,0.044099
12,S1,Sector12,0.246,1.356651
13,S1,Sector13,0.229,0.988063
14,S1,Sector14,0.137,0.053205
15,S1,Sector15,0.215,0.75979
16,S1,Sector16,0.195,0.485078
17,S2,Sector1,0.190053,0.422784
18,S2,Sector2,0.102429,0.004688
19,S2,Sector3,0.037785,0
20,S2,Sector4,0.071681,6.7E-05
21,S2,Sector5,0.158045,0.142518
22,S2,Sector6,0.20474,0.613555
23,S2,Sector7,0.322461,3.573365
24,S2,Sector8,0.209584,0.664532
25,S2,Sector9,0.037574,0
26,S2,Sector10,0.028356,0
27,S2,Sector11,0.131643,0.044099
28,S2,Sector12,0.246058,1.356653
29,S2,Sector13,0.228846,0.988063
30,S2,Sector14,0.137117,0.053205
31,S2,Sector15,0.214809,0.759792
32,S2,Sector16,0.195485,0.485079
